Havza-Althavza-il-ilçe Listesi
Akarçay (HAVZA)
Afyon-Akarçay (ALT HAVZA) Havzasý: (Akarçay)
Afyonkarahisar (ÞEHÝR)  Havzasý: (Akarçay)
Bayat (ÝLÇE)  ili: (Afyonkarahisar)
Bolvadin (ÝLÇE)  ili: (Afyonkarahisar)
Çay (ÝLÇE)  ili: (Afyonkarahisar)
Çobanlar (ÝLÇE)  ili: (Afyonkarahisar)
Ýscehisar (ÝLÇE)  ili: (Afyonkarahisar)
Sultandaðý (ÝLÇE)  ili: (Afyonkarahisar)
Isparta (ÞEHÝR)  Havzasý: (Akarçay)
Çay (ÝLÇE)  ili: (Isparta)
Yalvaç (ÝLÇE)  ili: (Isparta)
Afyon-Gecek (ALT HAVZA) Havzasý: (Akarçay)
Afyonkarahisar (ÞEHÝR)  Havzasý: (Akarçay)
Afyonkarahisar_Merkez Ýlçe (ÝLÇE)  ili: (Afyonkarahisar)
Çobanlar (ÝLÇE)  ili: (Afyonkarahisar)
Hocalar (ÝLÇE)  ili: (Afyonkarahisar)
Ýhsaniye (ÝLÇE)  ili: (Afyonkarahisar)
Ýscehisar (ÝLÇE)  ili: (Afyonkarahisar)
Sinanpaþa (ÝLÇE)  ili: (Afyonkarahisar)
Þuhut (ÝLÇE)  ili: (Afyonkarahisar)
Kütahya (ÞEHÝR)  Havzasý: (Akarçay)
Dumlupýnar (ÝLÇE)  ili: (Kütahya)
Uþak (ÞEHÝR)  Havzasý: (Akarçay)
Banaz (ÝLÇE)  ili: (Uþak)
Afyon-Sincanli (ALT HAVZA) Havzasý: (Akarçay)
Afyonkarahisar (ÞEHÝR)  Havzasý: (Akarçay)
Afyonkarahisar_Merkez Ýlçe (ÝLÇE)  ili: (Afyonkarahisar)
Hocalar (ÝLÇE)  ili: (Afyonkarahisar)
Sandýklý (ÝLÇE)  ili: (Afyonkarahisar)
Sinanpaþa (ÝLÇE)  ili: (Afyonkarahisar)
Eber-Aksehir (ALT HAVZA) Havzasý: (Akarçay)
Afyonkarahisar (ÞEHÝR)  Havzasý: (Akarçay)
Sultandaðý (ÝLÇE)  ili: (Afyonkarahisar)
Isparta (ÞEHÝR)  Havzasý: (Akarçay)
Akþehir (ÝLÇE)  ili: (Isparta)
Þarkikaraaðaç (ÝLÇE)  ili: (Isparta)
Yalvaç (ÝLÇE)  ili: (Isparta)
Konya (ÞEHÝR)  Havzasý: (Akarçay)
Akþehir (ÝLÇE)  ili: (Konya)
Doðanhisar (ÝLÇE)  ili: (Konya)
Ilgýn (ÝLÇE)  ili: (Konya)
Sultandaðý (ÝLÇE)  ili: (Konya)
Tuzlukçu (ÝLÇE)  ili: (Konya)
Yunak (ÝLÇE)  ili: (Konya)
Karamuk (ALT HAVZA) Havzasý: (Akarçay)
Afyonkarahisar (ÞEHÝR)  Havzasý: (Akarçay)
Çay (ÝLÇE)  ili: (Afyonkarahisar)
Dinar (ÝLÇE)  ili: (Afyonkarahisar)
Þuhut (ÝLÇE)  ili: (Afyonkarahisar)
Isparta (ÞEHÝR)  Havzasý: (Akarçay)
